2023-01-29 20:54:11, DELETED, BackUp/Current/status_2023-01-29_20:54:11.txt
2023-01-29 20:55:27, DELETED, BackUp/.DS_Store
2023-01-29 20:55:27, DELETED, BackUp/Current/status_2023-01-29_20:54:11.txt
2023-01-29 20:55:27, DELETED, BackUp/Current/status_2023-01-29_20:55:27.txt
2023-01-29 21:12:45, DELETED, BackUp/.DS_Store
2023-01-29 21:12:45, DELETED, BackUp/Current/status_2023-01-29_20:54:11.txt
2023-01-29 21:12:45, DELETED, BackUp/Current/status_2023-01-29_20:55:27.txt
2023-01-29 21:12:45, DELETED, BackUp/Current/status_2023-01-29_21:12:45.txt
2023-01-29 21:14:13, DELETED, BackUp/.DS_Store
2023-01-29 21:14:13, DELETED, BackUp/Current/status_2023-01-29_20:54:11.txt
2023-01-29 21:14:13, DELETED, BackUp/Current/status_2023-01-29_20:55:27.txt
2023-01-29 21:14:13, DELETED, BackUp/Current/status_2023-01-29_21:12:45.txt
2023-01-29 21:14:13, DELETED, BackUp/Current/status_2023-01-29_21:14:13.txt
